190524183129
SignalInvestment;20.940;60.040;59.060;62.720;31.170;68.860;41.000;17.440;91.590;36.460;13.530;60.720;22.920;86.390;46.870;86.190;53.800;60.880;55.180;95.000;47.260;13.000;17.000;74.560;87.790;19.900;37.130;24.290;91.000;32.670;86.690;79.000;57.930;72.460;84.460;17.490;44.780;30.720;9.780;53.130;84.960;38.000;65.650;69.710;50.000;51.000;93.000;15.680;72.000;6.000;41.080;67.860;89.040;5.600;11.370;22.230;44.000;48.750;75.740;31.810;51.160;63.310;45.780;35.000;18.000;45.000;78.000;43.000;80.970;78.440;93.040;74.220;46.000;23.000;9.240;34.000;78.000;26.370;42.150;35.700;25.560;73.650;16.040;72.060;13.520;63.960;89.590;82.390;96.000;24.000;27.260;3.240;25.000;5.330;23.250;37.790;68.000;81.000;79.870;60.010
DistanceToBestFriend; ; ; ;8;52; ; ; ; ;18; ; ; ;51; ; ;75;38; ;70; ;21;16; ; ; ; ;18; ;9;10;53; ; ;17;17; ; ;9; ;39; ;21;15;8; ;48;30;23; ; ;17;8; ; ;38;52; ;15;9; ;4;16;27;51;4;10;2;9;2;26;23;23;72; ; ;10;30;16;39; ; ; ;2;53;25;12;5;9;70;27;75;5; ;48; ;26;9; ;42
